ExperimentType,R_on,R_off,T_ref,RepeatIndex,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,Success,Collision,SwitchCount,Steps
R_on,0.7,0.4,5,21,73.2394366197183,1818.01276056338,2644.0025,1103.44901189929,3.51054046310272,1.5660830369613,1,0,2,142
R_on,0.7,0.4,5,22,8.9,220.310921399999,2592.4226,705.28394219143,3.46386306568095,1.79055179990776,0,0,2,1000
R_on,0.7,0.4,5,23,8.9,219.944209699999,2598.9577,704.101603597262,4.03271700338565,2.0908704665386,0,0,2,1000
R_on,0.7,0.4,5,24,10,248.714458899999,2590.7031,746.590280737496,3.69859189694794,2.07506573431446,0,0,2,1000
R_on,0.7,0.4,5,25,8.9,220.164984199999,2619.7176,704.80022524925,4.02237704539761,2.01281529745802,0,0,2,1000
R_on,0.8,0.5,5,1,6.4,159.368986299999,2595.9211,609.824034080837,3.84336298306532,1.96620103187856,0,0,2,1000
R_on,0.8,0.5,5,2,7.7,191.442880599999,2640.1786,663.225541096973,4.21978933706331,2.26958179355934,0,0,2,1000
R_on,0.8,0.5,5,3,7.8,194.148018399999,3065.302,668.198582537362,3.98540287471511,2.0022875195222,0,0,2,1000
R_on,0.8,0.5,5,4,7.6,189.502900299999,2634.8431,661.199209050719,2.85231668793909,0.961111691658111,0,0,2,1000
R_on,0.8,0.5,5,5,6.5,162.606826899999,2592.4871,617.08264767705,2.70376449184313,0.914712690301452,0,0,4,1000
R_on,0.8,0.5,5,6,6.7,168.473368299999,2633.6089,629.063253591471,3.64880986348398,1.75171828809675,0,0,2,1000
R_on,0.8,0.5,5,7,7.8,196.205890399999,2642.8489,674.995049359437,3.04969505084591,1.26003000622964,0,0,2,1000
R_on,0.8,0.5,5,8,8,200.266035,2622.7761,679.558322172852,4.08812706544305,2.47877689609139,0,0,2,1000
R_on,0.8,0.5,5,9,59.0361445783133,1490.55141686747,2671.5009,1249.70183680164,1.97248619610037,0.233026239916126,0,1,1,83
R_on,0.8,0.5,5,10,5.7,143.121893899999,2644.7186,582.501089287509,4.07157130460287,2.32330821941826,0,0,2,1000
R_on,0.8,0.5,5,11,8.5,213.1145381,2644.3531,699.658282266618,2.71330018955569,0.939002844994372,0,0,2,1000
R_on,0.8,0.5,5,12,8.1,202.540412299999,2600.1623,682.621528477567,3.32874610741998,1.61752901610445,0,0,2,1000
R_on,0.8,0.5,5,13,8.2,205.2232581,2630.2434,687.06444494121,3.01163981566744,1.12789396417109,0,0,2,1000
R_on,0.8,0.5,5,14,8.1,202.993011999999,2688.6341,684.171052079866,4.51459132500218,2.74837265074551,0,0,2,1000
R_on,0.8,0.5,5,15,7.4,185.411558799999,2642.0522,656.304745684323,2.97411689680102,1.1977237260033,0,0,2,1000
R_on,0.8,0.5,5,16,7.3,182.8340758,2650.6421,651.919447494632,4.12705959687269,2.1352751772741,0,0,2,1000
R_on,0.8,0.5,5,17,57.3643410852713,1436.58714573643,2635.4037,1243.6831796866,3.47507619107989,1.57503434157158,1,0,2,129
R_on,0.8,0.5,5,18,7.3,182.9429461,2653.8714,652.356475070073,3.67652935683316,2.06033678152033,0,0,2,1000
R_on,0.8,0.5,5,19,8.6,215.714159899999,2639.3394,703.681673803865,3.1867726043523,1.48530258164373,0,0,2,1000
R_on,0.8,0.5,5,20,7.1,177.8974302,2624.6307,643.896525521323,3.71559898588691,1.85799324401923,0,0,2,1000
R_on,0.8,0.5,5,21,54.2253521126761,1364.54870633803,2638.7809,1258.47951405515,2.82407072383114,1.12298644587303,1,0,2,142
R_on,0.8,0.5,5,22,7.2,180.2551156,2638.8549,647.508070380823,3.99294841796436,2.22196079962291,0,0,2,1000
R_on,0.8,0.5,5,23,7.4,186.6327192,3130.9772,660.901030739905,4.00537513767244,2.09507263009195,0,0,2,1000
R_on,0.8,0.5,5,24,7.1,178.234753199999,2650.1594,645.101882986275,3.48308804244791,1.87585510386527,0,0,2,1000
R_on,0.8,0.5,5,25,7.8,195.349743399999,2632.3609,672.045886250153,4.43048646777843,2.73017889359656,0,0,2,1000
T_ref,0.6,0.2,1,1,78.3582089552239,1949.86439029851,2632.6341,1029.18092233115,4.23764156930515,2.53184196532649,1,0,2,134
